time,mean_particle_number,variance,factorial_second_moment,g1_real,g1_imag,g1_magnitude,g2
0.000000000000000000e+00,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.138183423562677543e+00,0.000000000000000000e+00,3.138183423562677543e+00,9.987864920213245234e-01
1.000000000000000021e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.138014120705173937e+00,-3.114998361656417733e-02,3.138168724467245152e+00,9.987864920213245234e-01
2.000000000000000042e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.137506336619177105e+00,-6.229601042539385097e-02,3.138124727483024845e+00,9.987864920213245234e-01
3.000000000000000062e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.136660111555499064e+00,-9.343412220941768598e-02,3.138051400250862599e+00,9.987864920213245234e-01
4.000000000000000083e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.135475568484858755e+00,-1.245603630623515340e-01,3.137948744739415652e+00,9.987864920213245234e-01
5.000000000000000104e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.133952879393994806e+00,-1.556707790013299730e-01,3.137816763562970124e+00,9.987864920213245234e-01
6.000000000000000125e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.132092265356053673e+00,-1.867614186128410125e-01,3.137655460082495740e+00,9.987864920213245234e-01
7.000000000000000146e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.129893996491395658e+00,-2.178283336946119086e-01,3.137464838405850998e+00,9.987864920213245234e-01
8.000000000000000167e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.127358391919893510e+00,-2.488675798919056381e-01,3.137244903387849337e+00,9.987864920213245234e-01
9.000000000000001055e-03,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.124485819703055167e+00,-2.798752173388748266e-01,3.136995660629124494e+00,9.987864920213245234e-01
1.000000000000000021e-02,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.121276696779263560e+00,-3.108473112973967889e-01,3.136717116476729572e+00,9.987864920213245234e-01
1.099999999999999936e-02,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.117731488889103453e+00,-3.417799327949729293e-01,3.136409278023517544e+00,9.987864920213245234e-01
1.200000000000000025e-02,9.993677770439699515e+00,9.872480365587819051e+00,9.975239797452871926e+01,3.113850710492534812e+00,-3.726691592612927373e-01,3.136072153107989813e+00,9.987864920213245234e-01
